content,dynasty,name,author
"
年年跃马长安市。客舍似家家似寄。青钱换酒日无何，红烛呼卢宵不寐。 ",宋代,玉楼春·戏林推,刘克庄
"
寒江夜宿。长啸江之曲。水底鱼龙惊动，风卷地、浪翻屋。 ",宋代,霜天晓角·仪真江上夜泊,黄机
"
一卷阴符，二石硬弓，百斤宝刀。更玉花骢喷，鸣鞭电抹，乌丝阑展，醉墨龙跳。牛角书生，虬髯豪客，谈笑皆堪折简招。依稀记，曾请缨系粤，草檄征辽。 ",宋代,沁园春·答九华叶贤良,刘克庄
"
莫上玉楼看。花雨斑斑。四垂罗幕护朝寒。燕子不知人去也，飞认阑干。 ",宋代,浪淘沙·莫上玉楼看,韩疁
"
春讯飞琼管。风日薄、度墙啼鸟声乱。江城次第，笙歌翠合，绮罗香暖。溶溶涧渌冰泮。醉梦里、年华暗换。料黛眉重锁隋堤，芳心还动梁苑。 ",宋代,宴清都·初春,卢祖皋
"
画楼帘幕卷新晴。掩银屏。晓寒轻。坠粉飘香，日日唤愁生。暗数十年湖上路，能几度，著娉婷。 ",宋代,江城子·画楼帘暮卷新晴,卢祖皋
"
一春长费买花钱，日日醉湖边。玉骢惯识西湖路，骄嘶过、沽酒楼前。红杏香中箫鼓，绿杨影里秋千。",宋代,风入松·一春长费买花钱,俞国宝
"
做冷欺花，将烟困柳，千里偷催春暮。尽日冥迷，愁里欲飞还住。惊粉重、蝶宿西园，喜泥润、燕归南浦。最妨它、佳约风流，钿车不到杜陵路。 ",宋代,绮罗香·咏春雨,史达祖
"
过春社了，度帘幕中间，去年尘冷。差池欲住，试入旧巢相并。还相雕梁藻井。又软语、商量不定。飘然快拂花梢，翠尾分开红影。 ",宋代,双双燕·咏燕,史达祖
"
莎衫筠笠。正是村村农务急。绿水千畦。惭愧秧针出得齐。 ",宋代,减字木兰花·莎衫筠笠,卢炳
"
袖剑飞吟。洞庭青草，秋水深深。万顷波光，岳阳楼上，一快披襟。 ",宋代,柳梢青·岳阳楼,戴复古
"
",宋代,疏影·苔枝缀玉,姜夔
"
",宋代,暗香·旧时月色,姜夔
"
",宋代,齐天乐·蟋蟀,姜夔
"
",宋代,念奴娇·闹红一舸,姜夔
"
",宋代,长亭怨慢·渐吹尽,姜夔
"
京洛风流绝代人。因何风絮落溪津。笼鞋浅出鸦头袜，知是凌波缥缈身。 ",宋代,鹧鸪天·己酉之秋苕溪记所见,姜夔
"
",宋代,踏莎行·自沔东来丁未元日至金陵江上感梦而作,姜夔
"
",宋代,扬州慢·淮左名都,姜夔
"
燕雁无心，太湖西畔随云去。数峰清苦。商略黄昏雨。 ",宋代,点绛唇·丁未冬过吴松作,姜夔
"
堂上谋臣尊俎，边头将士干戈。天时地利与人和。燕可伐欤曰可。 ",宋代,西江月·堂上谋臣尊俎,刘过
"
千古江山，英雄无觅，孙仲谋处。舞榭歌台，风流总被，雨打风吹去。斜阳草树，寻常巷陌，人道寄奴曾住。想当年，金戈铁马，气吞万里如虎。",宋代,永遇乐·京口北固亭怀古,辛弃疾
"
",宋代,唐多令·芦叶满汀洲,刘过
"
闹花深处层楼，画帘半卷东风软。春归翠陌，平莎茸嫩，垂杨金浅。迟日催花，淡云阁雨，轻寒轻暖。恨芳菲世界，游人未赏，都付与、莺和燕。 ",宋代,水龙吟·春恨,陈亮
"
不见南师久，漫说北群空。当场只手，毕竟还我万夫雄。自笑堂堂汉使，得似洋洋河水，依旧只流东？且复穹庐拜，会向藁街逢！",宋代,水调歌头·送章德茂大卿使虏,陈亮
"
见也如何暮。别也如何遽。别也应难见也难，后会难凭据。 ",宋代,卜算子·见也如何暮,石孝友
"
醉里且贪欢笑，要愁那得工夫。",宋代,西江月·遣兴,辛弃疾
"
何处望神州？满眼风光北固楼。千古兴亡多少事？悠悠。不尽长江滚滚流。",宋代,南乡子·登京口北固亭有怀,辛弃疾
"
壮岁旌旗拥万夫，锦襜突骑渡江初。燕兵夜娖银胡觮，汉箭朝飞金仆姑。",宋代,鹧鸪天·有客慨然谈功名因追念少年时事戏作,辛弃疾
"
醉里挑灯看剑，梦回吹角连营。八百里分麾下炙，五十弦翻塞外声。沙场秋点兵。",宋代,破阵子·为陈同甫赋壮词以寄之,辛弃疾
"
一轮秋影转金波，飞镜又重磨。把酒问姮娥：被白发、欺人奈何？",宋代,太常引·建康中秋夜为吕叔潜赋 / 太常引·一轮秋影转金波,辛弃疾
"
举头西北浮云，倚天万里须长剑。人言此地，夜深长见，斗牛光焰。我觉山高，潭空水冷，月明星淡。待燃犀下看，凭栏却怕，风雷怒，鱼龙惨。",宋代,水龙吟·过南剑双溪楼,辛弃疾
"
",宋代,贺新郎·甚矣吾衰矣,辛弃疾
"
别茂嘉十二弟。鹈鴂、杜鹃实两种，见《离骚补注》",宋代,贺新郎·别茂嘉十二弟,辛弃疾
"
绕床饥鼠，蝙蝠翻灯舞。屋上松风听急雨，破纸窗间自语。",宋代,清平乐·独宿博山王氏庵,辛弃疾
"
",宋代,清平乐·村居,辛弃疾
"
少年不识愁滋味，爱上层楼。爱上层楼。为赋新词强说愁。 ",宋代,丑奴儿·书博山道中壁,辛弃疾
"
楚天千里无云，露华洗出秋容净。银蟾台榭，玉壶天地，参差桂影。鸳瓦寒生，画檐光射，碧梧金井。听韶华半夜，江梅三弄，风袅袅、良宵永。 ",宋代,水龙吟·楚天千里无云,曾觌
"
东风夜放花千树。更吹落、星如雨。宝马雕车香满路。凤箫声动，玉壶光转，一夜鱼龙舞。 ",宋代,青玉案·元夕,辛弃疾
"
郁孤台下清江水，中间多少行人泪。西北望长安，可怜无数山。",宋代,菩萨蛮·书江西造口壁,辛弃疾
"
",宋代,摸鱼儿·更能消几番风雨,辛弃疾
"
过尽征鸿来尽燕，故园消息茫然。一春憔悴有谁怜。怀家寒食夜，中酒落花天。",宋代,临江仙·暮春,赵长卿
"
满载一船秋色，平铺十里湖光。波神留我看斜阳，放起鳞鳞细浪。",宋代,西江月·阻风山峰下,张孝祥
"
问讯湖边春色，重来又是三年。东风吹我过湖船，杨柳丝丝拂面。",宋代,西江月·问讯湖边春色,张孝祥
"
洞庭青草，近中秋，更无一点风色。玉界琼田三万顷，着我扁舟一叶。素月分辉，明河共影，表里俱澄澈。悠然心会，妙处难与君说。(著 同：着；玉界 一作：玉鉴)",宋代,念奴娇·过洞庭,张孝祥
"
雪洗虏尘静，风约楚云留。何人为写悲壮，吹角古城楼。湖海平生豪气，关塞如今风景，剪烛看吴钩。剩喜燃犀处，骇浪与天浮。",宋代,水调歌头·和庞佑父,张孝祥
"
长淮望断，关塞莽然平。征尘暗，霜风劲，悄边声。黯销凝。追想当年事，殆天数，非人力，洙泗上，弦歌地，亦膻腥。隔水毡乡，落日牛羊下，区脱纵横。看名王宵猎，骑火一川明。笳鼓悲鸣。遣人惊。 ",宋代,六州歌头·长淮望断,张孝祥
"
不是爱风尘，似被前缘误。花落花开自有时，总赖东君主。",宋代,卜算子·不是爱风尘,严蕊
"
独自上层楼，楼外青山远。望以斜阳欲尽时，不见西飞雁。 ",宋代,卜算子·独自上层楼,程垓
"
月未到诚斋，先到万花川谷。不是诚斋无月，隔一林修竹。 ",宋代,好事近·七月十三日夜登万花川谷望月作,杨万里
"
",宋代,昭君怨·赋松上鸥,杨万里
"
华灯纵博，雕鞍驰射，谁记当年豪举。酒徒一半取封侯，独去作、江边渔父。",宋代,鹊桥仙·华灯纵博,陆游
"
世情薄，人情恶，雨送黄昏花易落。晓风干，泪痕残。欲笺心事，独语斜阑。难，难，难！",宋代,钗头凤·世情薄,唐婉
"
当年万里觅封侯，匹马戍梁州。关河梦断何处？尘暗旧貂裘。",宋代,诉衷情·当年万里觅封侯,陆游
"
秋到边城角声哀，烽火照高台。悲歌击筑，凭高酹酒，此兴悠哉。",宋代,秋波媚·七月十六日晚登高兴亭望长安南山,陆游
"
雪晓清笳乱起。梦游处、不知何地。铁骑无声望似水。想关河，雁门西，青海际。",宋代,夜游宫·记梦寄师伯浑,陆游
"
驿外断桥边，寂寞开无主。已是黄昏独自愁，更著风和雨。 ",宋代,卜算子·咏梅,陆游
"
秋入云山，物情潇洒。百般景物堪图画。丹枫万叶碧云边，黄花千点幽岩下。 ",宋代,踏莎行·秋入云山,张抡
"
红酥手，黄縢酒，满城春色宫墙柳。东风恶，欢情薄。一怀愁绪，几年离索。错、错、错。",宋代,钗头凤·红酥手,陆游
"
郊原初过雨。见败叶零乱，风定犹舞。斜阳挂深树。映浓愁浅黛，遥山眉妩。来时旧路。尚岩花、娇黄半吐。到而今，唯有溪边流水，见人如故。 ",宋代,瑞鹤仙·郊原初过雨,袁去华
"
楼外垂杨千万缕。欲系青春，少住春还去。犹自风前飘柳絮。随春且看归何处。 ",宋代,蝶恋花·送春,朱淑真
"
倚天绝壁。直下江千尺。天际两蛾凝黛，愁与恨、几时极。 ",宋代,霜天晓角·题采石蛾眉亭,韩元吉
"
一点残红欲尽时。乍凉秋气满屏帏。梧桐叶上三更雨，叶叶声声是别离。 ",宋代,鹧鸪天·一点残红欲尽时,周紫芝
"
春已半。触目此情无限。十二阑干闲倚遍。愁来天不管。 ",宋代,谒金门·春半,朱淑真
"
昨夜寒蛩不住鸣。惊回千里梦，已三更。起来独自绕阶行。人悄悄，帘外月胧明。",宋代,小重山·昨夜寒蛩不住鸣,岳飞
"
迟迟春日弄轻柔，花径暗香流。清明过了，不堪回首，云锁朱楼。",宋代,眼儿媚·迟迟春日弄轻柔,朱淑真
"
",宋代,满江红·写怀,岳飞
"
兀术每遇对阵之际，吹此则鏖战无还期也",宋代,饮马歌·边头春未到,曹勋
"
茅舍疏篱。半飘残雪，斜卧低枝。可更相宜，烟笼修竹，月在寒溪。 ",宋代,柳梢青·茅舍疏篱,杨无咎
"
梦绕神州路。怅秋风、连营画角，故宫离黍。底事昆仑倾砥柱，九地黄流乱注。聚万落千村狐兔。天意从来高难问，况人情老易悲难诉。更南浦，送君去。",宋代,贺新郎·送胡邦衡待制赴新州,张元干
"
曳杖危楼去。斗垂天、沧波万顷，月流烟渚。扫尽浮云风不定，未放扁舟夜渡。宿雁落、寒芦深处。怅望关河空吊影，正人间、鼻息鸣鼍鼓。谁伴我，醉中舞。 ",宋代,贺新郎·寄李伯纪丞相,张元干
"
忆昔午桥桥上饮，坐中多是豪英。长沟流月去无声。杏花疏影里，吹笛到天明。 ",宋代,临江仙·夜登小阁忆洛中旧游,陈与义
"
萋萋芳草忆王孙。柳外楼高空断魂。杜宇声声不忍闻。欲黄昏。雨打梨花深闭门。 ",宋代,忆王孙·春词,李重元
"
天。休使圆蟾照客眠。人何在，桂影自婵娟。
",宋代,苍梧谣·天,蔡伸
"
与君别。相思一夜梅花发。梅花发。凄凉南浦，断桥斜月。 ",宋代,忆秦娥·与君别,房舜卿
"
芳菲歇。故园目断伤心切。伤心切。无边烟水，无穷山色。 ",宋代,秦楼月·芳菲歇,向子諲
"
恨君不似江楼月，南北东西，南北东西，只有相随无别离。",宋代,采桑子·恨君不似江楼月,吕本中
"
春涨一篙添水面。芳草鹅儿，绿满微风岸。画舫夷犹湾百转。横塘塔近依前远。 ",宋代,蝶恋花·春涨一篙添水面,范成大
